# 複合語一覧 (3,357 語) — V1_expand_vow: 拡張: slot 2 (V_a) に 'i' 追加 → [o, y, i]
# 形式: [N基] 元語  ->  base1 + base2 + ...

[4基] yteeoldy  ->  y + t + ee + oldy
[4基] yteochy  ->  y + t + e + ochy
[4基] yteokar  ->  y + t + e + okar
[4基] yteold  ->  y + t + e + old
[4基] yteoldy  ->  y + t + e + oldy
[4基] ytoeopchey  ->  y + t + oe + opchey
[4基] ytoetear  ->  y + t + oe + tear
[3基] ytokar  ->  y + t + okar
[3基] ytolaiin  ->  y + t + olaiin
[3基] ytolaiir  ->  y + t + olaiir
[3基] ytoldy  ->  y + t + oldy
[3基] ytolkal  ->  y + t + olkal
[3基] ytorory  ->  y + t + orory
[3基] ytoryd  ->  y + t + oryd
[3基] ytychy  ->  y + t + ychy
[3基] zepchy  ->  z + e + pchy
